time,vehicle_id,real,origin,destination,position,flight_phase,velocity
1.0401496887207031,1003,False,3,5,[-1. -8.  0.],queued,[-0.14167445 -0.39262421 -0.50131918]
1.0401496887207031,1004,False,4,2,[ 8.  -7.5  0. ],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.0401496887207031,1005,False,5,0,[-8.    8.    0.27],queued,[-0.1747302  -0.01447319 -0.59780637]
1.137932300567627,1000,True,0,1,[-10.61491684  -6.22439429   1.        ],waiting,[ 0.94276743  0.70951111 -0.22904961]
1.137932300567627,1001,True,1,4,[10.05412097 -4.73572462  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.137932300567627,1002,True,2,3,[ 0.39845413 12.26556475  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.137932300567627,1003,False,3,5,[-1.   -8.    0.02],queued,[-0.14167445 -0.39262421 -0.50131918]
1.137932300567627,1004,False,4,2,[ 8.   -7.5   0.02],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.137932300567627,1005,False,5,0,[-8.     8.     0.345],queued,[-0.1747302  -0.01447319 -0.59780637]
1.2381999492645264,1000,True,0,1,[-10.61367894  -6.22487773   1.        ],waiting,[ 0.94276743  0.70951111 -0.22904961]
1.2381999492645264,1001,True,1,4,[10.05357937 -4.72495879  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.2381999492645264,1002,True,2,3,[ 0.39702711 12.28287505  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.2381999492645264,1003,False,3,5,[-1.   -8.    0.06],queued,[-0.14167445 -0.39262421 -0.50131918]
1.2381999492645264,1004,False,4,2,[ 8.   -7.5   0.06],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.2381999492645264,1005,False,5,0,[-8.    8.    0.42],queued,[-0.1747302  -0.01447319 -0.59780637]
1.3354692459106445,1000,True,0,1,[-10.61293772  -6.2193052    1.        ],waiting,[ 0.94276743  0.70951111 -0.22904961]
1.3354692459106445,1001,True,1,4,[10.06051962 -4.72276451  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.3354692459106445,1002,True,2,3,[ 0.40072169 12.28254576  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.3354692459106445,1003,False,3,5,[-1.   -8.    0.12],queued,[-0.14167445 -0.39262421 -0.50131918]
1.3354692459106445,1004,False,4,2,[ 8.   -7.5   0.12],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.3354692459106445,1005,False,5,0,[-8.     8.     0.495],queued,[-0.1747302  -0.01447319 -0.59780637]
1.434431552886963,1000,True,0,1,[-10.61244103  -6.21980022   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
1.434431552886963,1001,True,1,4,[10.0687522  -4.72141551  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.434431552886963,1002,True,2,3,[ 0.40420613 12.2831392   1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.434431552886963,1003,False,3,5,[-1.    -8.     0.195],queued,[-0.14167445 -0.39262421 -0.50131918]
1.434431552886963,1004,False,4,2,[ 8.    -7.5    0.195],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.434431552886963,1005,False,5,0,[-8.    8.    0.57],queued,[-0.1747302  -0.01447319 -0.59780637]
1.5437827110290527,1000,True,0,1,[-10.61294154  -6.22043129   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
1.5437827110290527,1001,True,1,4,[10.0687522  -4.72141551  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.5437827110290527,1002,True,2,3,[ 0.40420613 12.2831392   1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.5437827110290527,1003,False,3,5,[-1.   -8.    0.27],queued,[-0.14167445 -0.39262421 -0.50131918]
1.5437827110290527,1004,False,4,2,[ 8.   -7.5   0.27],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.5437827110290527,1005,False,5,0,[-8.     8.     0.645],queued,[-0.1747302  -0.01447319 -0.59780637]
1.6455152034759521,1000,True,0,1,[-10.61294154  -6.22043129   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
1.6455152034759521,1001,True,1,4,[10.08553831 -4.7224721   1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.6455152034759521,1002,True,2,3,[ 0.40905646 12.28156876  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.6455152034759521,1003,False,3,5,[-1.    -8.     0.345],queued,[-0.14167445 -0.39262421 -0.50131918]
1.6455152034759521,1004,False,4,2,[ 8.    -7.5    0.345],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.6455152034759521,1005,False,5,0,[-8.    8.    0.72],queued,[-0.1747302  -0.01447319 -0.59780637]
1.7472634315490723,1000,True,0,1,[-10.61533328  -6.21924151   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
1.7472634315490723,1001,True,1,4,[10.08995214 -4.71984938  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.7472634315490723,1002,True,2,3,[ 0.41068024 12.28312834  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.7472634315490723,1003,False,3,5,[-1.   -8.    0.42],queued,[-0.14167445 -0.39262421 -0.50131918]
1.7472634315490723,1004,False,4,2,[ 8.   -7.5   0.42],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.7472634315490723,1005,False,5,0,[-8.     8.     0.795],queued,[-0.1747302  -0.01447319 -0.59780637]
1.8509297370910645,1000,True,0,1,[-10.61883683  -6.2158401    1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
1.8509297370910645,1001,True,1,4,[10.08995214 -4.71984938  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.8509297370910645,1002,True,2,3,[ 0.41068024 12.28312834  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.8509297370910645,1003,False,3,5,[-1.    -8.     0.495],queued,[-0.14167445 -0.39262421 -0.50131918]
1.8509297370910645,1004,False,4,2,[ 8.    -7.5    0.495],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.8509297370910645,1005,False,5,0,[-8.    8.    0.87],queued,[-0.1747302  -0.01447319 -0.59780637]
1.945777177810669,1000,True,0,1,[-10.62363177  -6.21355897   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
1.945777177810669,1001,True,1,4,[10.09679877 -4.71474002  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.945777177810669,1002,True,2,3,[ 0.41022176 12.28461483  1.3       ],queued,[-0.56249787 -0.62983787 -0.05986321]
1.945777177810669,1003,False,3,5,[-1.   -8.    0.57],queued,[-0.14167445 -0.39262421 -0.50131918]
1.945777177810669,1004,False,4,2,[ 8.   -7.5   0.57],queued,[-0.5554271  -0.03688025 -0.6551221 ]
1.945777177810669,1005,False,5,0,[-8.     8.     0.945],queued,[-0.1747302  -0.01447319 -0.59780637]
2.070992946624756,1000,True,0,1,[-10.62638266  -6.21614115   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.070992946624756,1001,True,1,4,[10.0985324  -4.71481238  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
2.070992946624756,1002,True,2,3,[ 0.41103747 12.28174245  1.3       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.070992946624756,1003,False,3,5,[-1.    -8.     0.645],queued,[-0.14167445 -0.39262421 -0.50131918]
2.070992946624756,1004,False,4,2,[ 8.    -7.5    0.645],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.070992946624756,1005,False,5,0,[-8.    8.    1.02],queued,[-0.1747302  -0.01447319 -0.59780637]
2.1848831176757812,1000,True,0,1,[-10.63081083  -6.22675065   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.1848831176757812,1001,True,1,4,[10.10646506 -4.71073357  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
2.1848831176757812,1002,True,2,3,[ 0.41436336 12.28077775  1.3       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.1848831176757812,1003,False,3,5,[-1.   -8.    0.72],queued,[-0.14167445 -0.39262421 -0.50131918]
2.1848831176757812,1004,False,4,2,[ 8.   -7.5   0.72],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.1848831176757812,1005,False,5,0,[-8.     8.     1.095],queued,[-0.1747302  -0.01447319 -0.59780637]
2.2859320640563965,1000,True,0,1,[-10.63081083  -6.22675065   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.2859320640563965,1001,True,1,4,[10.11212156 -4.713116    1.3       ],queued,[-0.60788138  0.95558497  0.36070581]
2.2859320640563965,1002,True,2,3,[ 0.41997782 12.27969002  1.3       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.2859320640563965,1003,False,3,5,[-1.    -8.     0.795],queued,[-0.14167445 -0.39262421 -0.50131918]
2.2859320640563965,1004,False,4,2,[ 8.    -7.5    0.795],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.2859320640563965,1005,False,5,0,[-8.    8.    1.17],queued,[-0.1747302  -0.01447319 -0.59780637]
2.3872084617614746,1000,True,0,1,[-10.6272729   -6.23104946   1.        ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.3872084617614746,1001,True,1,4,[10.11555062 -4.7154579   1.3       ],queued,[-0.60788138  0.95558497  0.36070581]
2.3872084617614746,1002,True,2,3,[ 0.4162947  12.27786629  1.3       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.3872084617614746,1003,False,3,5,[-1.   -8.    0.87],queued,[-0.14167445 -0.39262421 -0.50131918]
2.3872084617614746,1004,False,4,2,[ 8.   -7.5   0.87],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.3872084617614746,1005,False,5,0,[-8.     8.     1.245],queued,[-0.1747302  -0.01447319 -0.59780637]
2.4972448348999023,1000,True,0,1,[-10.62426222  -6.23494879   1.1       ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.4972448348999023,1001,True,1,4,[10.11648095 -4.71777086  1.3       ],queued,[-0.60788138  0.95558497  0.36070581]
2.4972448348999023,1002,True,2,3,[ 0.41309299 12.27514154  1.4       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.4972448348999023,1003,False,3,5,[-1.    -8.     0.945],queued,[-0.14167445 -0.39262421 -0.50131918]
2.4972448348999023,1004,False,4,2,[ 8.    -7.5    0.945],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.4972448348999023,1005,False,5,0,[-8.    8.    1.32],queued,[-0.1747302  -0.01447319 -0.59780637]
2.5864546298980713,1000,True,0,1,[-10.62426222  -6.23494879   1.1       ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.5864546298980713,1001,True,1,4,[10.11524305 -4.71173806  1.3       ],queued,[-0.60788138  0.95558497  0.36070581]
2.5864546298980713,1002,True,2,3,[ 0.41055607 12.27327221  1.4       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.5864546298980713,1003,False,3,5,[-1.   -8.    1.02],queued,[-0.14167445 -0.39262421 -0.50131918]
2.5864546298980713,1004,False,4,2,[ 8.   -7.5   1.02],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.5864546298980713,1005,False,5,0,[-8.     8.     1.395],queued,[-0.1747302  -0.01447319 -0.59780637]
2.6987950801849365,1000,True,0,1,[-10.62564147  -6.22682014   1.1       ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.6987950801849365,1001,True,1,4,[10.10867626 -4.70766796  1.3       ],queued,[-0.60788138  0.95558497  0.36070581]
